utterance_id,speaker_id,route_split,source_split,source_row_indices,variants_averaged
Ses01F_impro03_F005,Ses01F,private,train,33;4457;8881,3
Ses01F_impro03_F006,Ses01F,private,train,34;4458;8882,3
Ses01F_impro03_F008,Ses01F,private,test,5,1
Ses01F_impro03_F009,Ses01F,private,train,35;4459;8883,3
Ses01F_impro03_F010,Ses01F,private,train,36;4460;8884,3
Ses01F_impro03_F012,Ses01F,private,train,37;4461;8885,3
Ses01F_impro03_F013,Ses01F,private,test,6,1
Ses01F_impro03_F015,Ses01F,private,test,7,1
Ses01F_impro03_F016,Ses01F,private,train,38;4462;8886,3
Ses01F_impro03_F017,Ses01F,private,train,39;4463;8887,3
Ses01F_impro03_F018,Ses01F,private,train,40;4464;8888,3
Ses01F_impro03_F019,Ses01F,private,train,41;4465;8889,3
Ses01F_impro03_F021,Ses01F,private,train,42;4466;8890,3
Ses01F_impro03_F022,Ses01F,private,train,43;4467;8891,3
Ses01F_impro03_F023,Ses01F,private,train,44;4468;8892,3
Ses01F_impro03_F024,Ses01F,private,train,45;4469;8893,3
Ses01F_impro03_F025,Ses01F,private,train,46;4470;8894,3
Ses01F_impro03_F026,Ses01F,private,train,47;4471;8895,3
Ses01F_impro03_M000,Ses01M,private,train,48;4472;8896,3
Ses01F_impro03_M001,Ses01M,private,train,49;4473;8897,3
Ses01F_impro03_M003,Ses01M,private,dev,1,1
Ses01F_impro03_M006,Ses01M,private,train,50;4474;8898,3
Ses01F_impro03_M007,Ses01M,private,train,51;4475;8899,3
Ses01F_impro03_M008,Ses01M,private,train,52;4476;8900,3
Ses01F_impro03_M009,Ses01M,private,dev,2,1
Ses01F_impro03_M011,Ses01M,private,dev,3,1
Ses01F_impro03_M013,Ses01M,private,train,53;4477;8901,3
Ses01F_impro03_M014,Ses01M,private,train,54;4478;8902,3
Ses01F_impro03_M015,Ses01M,private,train,55;4479;8903,3
Ses01F_impro03_M016,Ses01M,private,train,56;4480;8904,3
Ses01F_impro03_M019,Ses01M,private,train,57;4481;8905,3
Ses01F_impro03_M020,Ses01M,private,train,58;4482;8906,3
Ses01F_impro03_M021,Ses01M,private,train,59;4483;8907,3
Ses01F_impro03_M022,Ses01M,private,test,8,1
Ses01F_impro03_M023,Ses01M,private,train,60;4484;8908,3
Ses01F_impro03_M024,Ses01M,private,train,61;4485;8909,3
Ses01F_impro04_F000,Ses01F,private,test,9,1
Ses01F_impro04_F001,Ses01F,private,train,62;4486;8910,3
Ses01F_impro04_F005,Ses01F,private,train,63;4487;8911,3
Ses01F_impro04_F006,Ses01F,private,train,64;4488;8912,3
Ses01F_impro04_F009,Ses01F,private,test,10,1
Ses01F_impro04_F013,Ses01F,private,train,65;4489;8913,3
Ses01F_impro04_F014,Ses01F,private,train,66;4490;8914,3
Ses01F_impro04_F028,Ses01F,private,train,67;4491;8915,3
Ses01F_impro04_F029,Ses01F,private,dev,4,1
Ses01F_impro04_F030,Ses01F,private,train,68;4492;8916,3
Ses01F_impro04_F031,Ses01F,private,train,69;4493;8917,3
Ses01F_impro04_F032,Ses01F,private,train,70;4494;8918,3
Ses01F_impro04_F033,Ses01F,private,train,71;4495;8919,3
Ses01F_impro04_M000,Ses01M,private,train,72;4496;8920,3
Ses01F_impro04_M001,Ses01M,private,train,73;4497;8921,3
Ses01F_impro04_M002,Ses01M,private,train,74;4498;8922,3
Ses01F_impro04_M003,Ses01M,private,train,75;4499;8923,3
Ses01F_impro04_M004,Ses01M,private,train,76;4500;8924,3
Ses01F_impro04_M005,Ses01M,private,test,11,1
Ses01F_impro04_M006,Ses01M,private,test,12,1
Ses01F_impro04_M007,Ses01M,private,train,77;4501;8925,3
Ses01F_impro04_M008,Ses01M,private,test,13,1
Ses01F_impro04_M009,Ses01M,private,train,78;4502;8926,3
Ses01F_impro04_M010,Ses01M,private,train,79;4503;8927,3
Ses01F_impro04_M011,Ses01M,private,train,80;4504;8928,3
Ses01F_impro04_M012,Ses01M,private,train,81;4505;8929,3
Ses01F_impro04_M013,Ses01M,private,train,82;4506;8930,3
Ses01F_impro04_M014,Ses01M,private,test,14,1
Ses01F_impro04_M015,Ses01M,private,train,83;4507;8931,3
Ses01F_impro04_M016,Ses01M,private,train,84;4508;8932,3
Ses01F_impro04_M017,Ses01M,private,train,85;4509;8933,3
Ses01F_impro04_M018,Ses01M,private,train,86;4510;8934,3
Ses01F_impro04_M019,Ses01M,private,train,87;4511;8935,3
Ses01F_impro04_M020,Ses01M,private,train,88;4512;8936,3
Ses01F_impro04_M021,Ses01M,private,train,89;4513;8937,3
Ses01F_impro04_M022,Ses01M,private,train,90;4514;8938,3
Ses01F_impro04_M023,Ses01M,private,test,15,1
Ses01F_impro04_M024,Ses01M,private,train,91;4515;8939,3
Ses01F_impro04_M025,Ses01M,private,train,92;4516;8940,3
Ses01F_impro04_M026,Ses01M,private,train,93;4517;8941,3
Ses01F_impro04_M027,Ses01M,private,train,94;4518;8942,3
Ses01F_impro04_M028,Ses01M,private,train,95;4519;8943,3
Ses01F_impro04_M031,Ses01M,private,train,96;4520;8944,3
Ses01F_impro04_M032,Ses01M,private,train,97;4521;8945,3
Ses01F_impro05_F008,Ses01F,private,train,98;4522;8946,3
Ses01F_impro05_F009,Ses01F,private,train,99;4523;8947,3
Ses01F_impro05_F011,Ses01F,private,train,100;4524;8948,3
Ses01F_impro05_F012,Ses01F,private,train,101;4525;8949,3
Ses01F_impro05_F014,Ses01F,private,dev,5,1
Ses01F_impro05_F015,Ses01F,private,test,16,1
Ses01F_impro05_F016,Ses01F,private,train,102;4526;8950,3
Ses01F_impro05_F017,Ses01F,private,train,103;4527;8951,3
Ses01F_impro05_F018,Ses01F,private,train,104;4528;8952,3
Ses01F_impro05_F019,Ses01F,private,train,105;4529;8953,3
Ses01F_impro05_F020,Ses01F,private,train,106;4530;8954,3
Ses01F_impro05_F021,Ses01F,private,dev,6,1
Ses01F_impro05_F022,Ses01F,private,test,17,1
Ses01F_impro05_F023,Ses01F,private,train,107;4531;8955,3
Ses01F_impro05_F024,Ses01F,private,train,108;4532;8956,3
Ses01F_impro05_F025,Ses01F,private,train,109;4533;8957,3
Ses01F_impro05_F026,Ses01F,private,train,110;4534;8958,3
Ses01F_impro05_F028,Ses01F,private,train,111;4535;8959,3
Ses01F_impro05_F029,Ses01F,private,dev,7,1
Ses01F_impro05_F030,Ses01F,private,train,112;4536;8960,3
Ses01F_impro05_M000,Ses01M,private,test,18,1
Ses01F_impro05_M001,Ses01M,private,dev,8,1
Ses01F_impro05_M002,Ses01M,private,train,113;4537;8961,3
Ses01F_impro05_M003,Ses01M,private,train,114;4538;8962,3
Ses01F_impro05_M004,Ses01M,private,train,115;4539;8963,3
Ses01F_impro05_M005,Ses01M,private,train,116;4540;8964,3
Ses01F_impro05_M006,Ses01M,private,train,117;4541;8965,3
Ses01F_impro05_M007,Ses01M,private,train,118;4542;8966,3
Ses01F_impro05_M008,Ses01M,private,train,119;4543;8967,3
Ses01F_impro05_M009,Ses01M,private,train,120;4544;8968,3
Ses01F_impro05_M010,Ses01M,private,train,121;4545;8969,3
Ses01F_impro05_M011,Ses01M,private,train,122;4546;8970,3
Ses01F_impro05_M012,Ses01M,private,train,123;4547;8971,3
Ses01F_impro05_M013,Ses01M,private,train,124;4548;8972,3
Ses01F_impro05_M014,Ses01M,private,train,125;4549;8973,3
Ses01F_impro05_M015,Ses01M,private,test,19,1
Ses01F_impro05_M016,Ses01M,private,train,126;4550;8974,3
Ses01F_impro05_M017,Ses01M,private,train,127;4551;8975,3
Ses01F_impro05_M019,Ses01M,private,train,128;4552;8976,3
Ses01F_impro05_M020,Ses01M,private,test,20,1
Ses01F_impro05_M022,Ses01M,private,train,129;4553;8977,3
Ses01F_impro05_M023,Ses01M,private,train,130;4554;8978,3
Ses01F_impro05_M024,Ses01M,private,train,131;4555;8979,3
Ses01F_impro05_M025,Ses01M,private,train,132;4556;8980,3
Ses01F_impro05_M026,Ses01M,private,train,133;4557;8981,3
Ses01F_impro05_M027,Ses01M,private,train,134;4558;8982,3
Ses01F_impro05_M028,Ses01M,private,train,135;4559;8983,3
Ses01F_impro05_M029,Ses01M,private,train,136;4560;8984,3
Ses01F_impro05_M030,Ses01M,private,train,137;4561;8985,3
Ses01F_impro05_M031,Ses01M,private,train,138;4562;8986,3
Ses01F_impro05_M034,Ses01M,private,train,139;4563;8987,3
Ses01F_impro05_M035,Ses01M,private,train,140;4564;8988,3
Ses01F_impro06_F002,Ses01F,private,train,141;4565;8989,3
Ses01F_impro06_F003,Ses01F,private,train,142;4566;8990,3
Ses01F_impro06_F004,Ses01F,private,train,143;4567;8991,3
Ses01F_impro06_F005,Ses01F,private,train,144;4568;8992,3
Ses01F_impro06_F006,Ses01F,private,train,145;4569;8993,3
Ses01F_impro06_F007,Ses01F,private,test,21,1
Ses01F_impro06_F008,Ses01F,private,train,146;4570;8994,3
Ses01F_impro06_F009,Ses01F,private,test,22,1
Ses01F_impro06_F010,Ses01F,private,train,147;4571;8995,3
Ses01F_impro06_F011,Ses01F,private,train,148;4572;8996,3
Ses01F_impro06_F012,Ses01F,private,train,149;4573;8997,3
Ses01F_impro06_F013,Ses01F,private,train,150;4574;8998,3
Ses01F_impro06_F014,Ses01F,private,train,151;4575;8999,3
Ses01F_impro06_F015,Ses01F,private,train,152;4576;9000,3
Ses01F_impro06_F016,Ses01F,private,train,153;4577;9001,3
Ses01F_impro06_F018,Ses01F,private,train,154;4578;9002,3
Ses01F_impro06_F019,Ses01F,private,train,155;4579;9003,3
Ses01F_impro06_F020,Ses01F,private,train,156;4580;9004,3
Ses01F_impro06_F021,Ses01F,private,train,157;4581;9005,3
Ses01F_impro06_F022,Ses01F,private,train,158;4582;9006,3
Ses01F_impro06_F023,Ses01F,private,train,159;4583;9007,3
Ses01F_impro06_F024,Ses01F,private,train,160;4584;9008,3
Ses01F_impro06_F025,Ses01F,private,train,161;4585;9009,3
Ses01F_impro06_F026,Ses01F,private,train,162;4586;9010,3
Ses01F_impro06_F027,Ses01F,private,train,163;4587;9011,3
Ses01F_impro06_F028,Ses01F,private,dev,9,1
Ses01F_impro06_M000,Ses01M,private,train,164;4588;9012,3
Ses01F_impro06_M001,Ses01M,private,train,165;4589;9013,3
Ses01F_impro06_M002,Ses01M,private,train,166;4590;9014,3
Ses01F_impro06_M003,Ses01M,private,train,167;4591;9015,3
Ses01F_impro06_M004,Ses01M,private,train,168;4592;9016,3
Ses01F_impro06_M005,Ses01M,private,train,169;4593;9017,3
Ses01F_impro06_M006,Ses01M,private,train,170;4594;9018,3
Ses01F_impro06_M007,Ses01M,private,train,171;4595;9019,3
Ses01F_impro06_M008,Ses01M,private,train,172;4596;9020,3
Ses01F_impro06_M009,Ses01M,private,train,173;4597;9021,3
Ses01F_impro06_M010,Ses01M,private,train,174;4598;9022,3
Ses01F_impro06_M011,Ses01M,private,train,175;4599;9023,3
Ses01F_impro06_M012,Ses01M,private,train,176;4600;9024,3
Ses01F_impro06_M013,Ses01M,private,train,177;4601;9025,3
Ses01F_impro06_M014,Ses01M,private,train,178;4602;9026,3
Ses01F_impro06_M015,Ses01M,private,train,179;4603;9027,3
Ses01F_impro06_M016,Ses01M,private,train,180;4604;9028,3
Ses01F_impro07_F000,Ses01F,private,dev,10,1
Ses01F_impro07_F002,Ses01F,private,train,181;4605;9029,3
Ses01F_impro07_F003,Ses01F,private,test,23,1
Ses01F_impro07_F004,Ses01F,private,train,182;4606;9030,3
Ses01F_impro07_F005,Ses01F,private,train,183;4607;9031,3
Ses01F_impro07_F009,Ses01F,private,test,24,1
Ses01F_impro07_F010,Ses01F,private,train,184;4608;9032,3
Ses01F_impro07_F012,Ses01F,private,dev,11,1
Ses01F_impro07_F013,Ses01F,private,train,185;4609;9033,3
Ses01F_impro07_F016,Ses01F,private,train,186;4610;9034,3
Ses01F_impro07_M000,Ses01M,private,train,187;4611;9035,3
Ses01F_impro07_M001,Ses01M,private,train,188;4612;9036,3
Ses01F_impro07_M002,Ses01M,private,train,189;4613;9037,3
Ses01F_impro07_M003,Ses01M,private,train,190;4614;9038,3
Ses01F_impro07_M004,Ses01M,private,dev,12,1
Ses01F_impro07_M005,Ses01M,private,test,25,1
Ses01F_impro07_M006,Ses01M,private,train,191;4615;9039,3
Ses01F_impro07_M007,Ses01M,private,train,192;4616;9040,3
Ses01F_impro07_M008,Ses01M,private,train,193;4617;9041,3
Ses01F_impro07_M009,Ses01M,private,train,194;4618;9042,3
Ses01F_impro07_M012,Ses01M,private,train,195;4619;9043,3
Ses01F_impro07_M013,Ses01M,private,train,196;4620;9044,3
Ses01F_impro07_M014,Ses01M,private,train,197;4621;9045,3
Ses01F_impro07_M015,Ses01M,private,train,198;4622;9046,3
Ses01F_impro07_M017,Ses01M,private,train,199;4623;9047,3
Ses01F_impro07_M018,Ses01M,private,train,200;4624;9048,3
Ses01F_impro07_M019,Ses01M,private,train,201;4625;9049,3
Ses01F_script01_1_F005,Ses01F,private,train,202;4626;9050,3
Ses01F_script01_1_F015,Ses01F,private,train,203;4627;9051,3
Ses01F_script01_1_F034,Ses01F,private,train,204;4628;9052,3
Ses01F_script01_1_F035,Ses01F,private,train,205;4629;9053,3
Ses01F_script01_1_F037,Ses01F,private,train,206;4630;9054,3
Ses01F_script01_1_F038,Ses01F,private,train,207;4631;9055,3
Ses01F_script01_1_F041,Ses01F,private,dev,13,1
Ses01F_script01_1_F042,Ses01F,private,train,208;4632;9056,3
Ses01F_script01_1_M000,Ses01M,private,train,209;4633;9057,3
Ses01F_script01_1_M001,Ses01M,private,test,26,1
Ses01F_script01_1_M002,Ses01M,private,train,210;4634;9058,3
Ses01F_script01_1_M003,Ses01M,private,train,211;4635;9059,3
Ses01F_script01_1_M004,Ses01M,private,train,212;4636;9060,3
Ses01F_script01_1_M007,Ses01M,private,train,213;4637;9061,3
Ses01F_script01_1_M010,Ses01M,private,train,214;4638;9062,3
Ses01F_script01_1_M012,Ses01M,private,train,215;4639;9063,3
Ses01F_script01_1_M014,Ses01M,private,test,27,1
Ses01F_script01_1_M015,Ses01M,private,train,216;4640;9064,3
Ses01F_script01_1_M016,Ses01M,private,train,217;4641;9065,3
Ses01F_script01_1_M017,Ses01M,private,train,218;4642;9066,3
Ses01F_script01_1_M019,Ses01M,private,dev,14,1
Ses01F_script01_1_M023,Ses01M,private,train,219;4643;9067,3
Ses01F_script01_1_M024,Ses01M,private,train,220;4644;9068,3
Ses01F_script01_1_M025,Ses01M,private,train,221;4645;9069,3
Ses01F_script01_1_M034,Ses01M,private,train,222;4646;9070,3
Ses01F_script01_1_M039,Ses01M,private,train,223;4647;9071,3
Ses01F_script01_1_M040,Ses01M,private,train,224;4648;9072,3
Ses01F_script01_2_F003,Ses01F,private,test,28,1
Ses01F_script01_2_F004,Ses01F,private,train,225;4649;9073,3
Ses01F_script01_2_F005,Ses01F,private,train,226;4650;9074,3
Ses01F_script01_2_F006,Ses01F,private,train,227;4651;9075,3
Ses01F_script01_2_F007,Ses01F,private,train,228;4652;9076,3
Ses01F_script01_2_F008,Ses01F,private,dev,15,1
Ses01F_script01_2_F009,Ses01F,private,train,229;4653;9077,3
Ses01F_script01_2_F010,Ses01F,private,train,230;4654;9078,3
Ses01F_script01_2_F011,Ses01F,private,train,231;4655;9079,3
Ses01F_script01_2_F012,Ses01F,private,train,232;4656;9080,3
Ses01F_script01_2_F013,Ses01F,private,train,233;4657;9081,3
Ses01F_script01_2_M001,Ses01M,private,train,234;4658;9082,3
Ses01F_script01_2_M004,Ses01M,private,dev,16,1
Ses01F_script01_2_M008,Ses01M,private,dev,17,1
Ses01F_script01_2_M017,Ses01M,private,train,235;4659;9083,3
Ses01F_script01_3_F000,Ses01F,private,train,236;4660;9084,3
Ses01F_script01_3_F001,Ses01F,private,train,237;4661;9085,3
Ses01F_script01_3_F002,Ses01F,private,train,238;4662;9086,3
Ses01F_script01_3_F003,Ses01F,private,train,239;4663;9087,3
Ses01F_script01_3_F004,Ses01F,private,train,240;4664;9088,3
Ses01F_script01_3_F005,Ses01F,private,train,241;4665;9089,3
Ses01F_script01_3_F006,Ses01F,private,train,242;4666;9090,3
Ses01F_script01_3_F007,Ses01F,private,train,243;4667;9091,3
Ses01F_script01_3_F008,Ses01F,private,train,244;4668;9092,3
Ses01F_script01_3_F009,Ses01F,private,train,245;4669;9093,3
Ses01F_script01_3_F010,Ses01F,private,dev,18,1
Ses01F_script01_3_F011,Ses01F,private,train,246;4670;9094,3
Ses01F_script01_3_F012,Ses01F,private,train,247;4671;9095,3
Ses01F_script01_3_F013,Ses01F,private,train,248;4672;9096,3
Ses01F_script01_3_F014,Ses01F,private,dev,19,1
Ses01F_script01_3_F015,Ses01F,private,train,249;4673;9097,3
Ses01F_script01_3_F016,Ses01F,private,dev,20,1
Ses01F_script01_3_F017,Ses01F,private,test,29,1
Ses01F_script01_3_F019,Ses01F,private,train,250;4674;9098,3
Ses01F_script01_3_F020,Ses01F,private,train,251;4675;9099,3
Ses01F_script01_3_F021,Ses01F,private,train,252;4676;9100,3
Ses01F_script01_3_F022,Ses01F,private,train,253;4677;9101,3
Ses01F_script01_3_F028,Ses01F,private,train,254;4678;9102,3
Ses01F_script01_3_F029,Ses01F,private,train,255;4679;9103,3
Ses01F_script01_3_F030,Ses01F,private,test,30,1
Ses01F_script01_3_F031,Ses01F,private,train,256;4680;9104,3
Ses01F_script01_3_F035,Ses01F,private,test,31,1
Ses01F_script01_3_M000,Ses01M,private,dev,21,1
Ses01F_script01_3_M001,Ses01M,private,train,257;4681;9105,3
Ses01F_script01_3_M003,Ses01M,private,dev,22,1
Ses01F_script01_3_M004,Ses01M,private,dev,23,1
Ses01F_script01_3_M005,Ses01M,private,dev,24,1
Ses01F_script01_3_M008,Ses01M,private,train,258;4682;9106,3
Ses01F_script01_3_M009,Ses01M,private,dev,25,1
Ses01F_script01_3_M010,Ses01M,private,train,259;4683;9107,3
Ses01F_script01_3_M015,Ses01M,private,dev,26,1
Ses01F_script01_3_M016,Ses01M,private,train,260;4684;9108,3
Ses01F_script01_3_M017,Ses01M,private,train,261;4685;9109,3
Ses01F_script01_3_M019,Ses01M,private,train,262;4686;9110,3
Ses01F_script01_3_M020,Ses01M,private,train,263;4687;9111,3
Ses01F_script01_3_M021,Ses01M,private,train,264;4688;9112,3
Ses01F_script01_3_M022,Ses01M,private,train,265;4689;9113,3
Ses01F_script01_3_M023,Ses01M,private,train,266;4690;9114,3
Ses01F_script01_3_M024,Ses01M,private,test,32,1
Ses01F_script01_3_M025,Ses01M,private,test,33,1
Ses01F_script01_3_M026,Ses01M,private,train,267;4691;9115,3
Ses01F_script01_3_M027,Ses01M,private,train,268;4692;9116,3
Ses01F_script01_3_M028,Ses01M,private,train,269;4693;9117,3
Ses01F_script01_3_M029,Ses01M,private,train,270;4694;9118,3
Ses01F_script01_3_M030,Ses01M,private,dev,27,1
Ses01F_script01_3_M032,Ses01M,private,train,271;4695;9119,3
Ses01F_script01_3_M033,Ses01M,private,train,272;4696;9120,3
Ses01F_script01_3_M036,Ses01M,private,dev,28,1
Ses01F_script01_3_M037,Ses01M,private,train,273;4697;9121,3
Ses01F_script02_1_F000,Ses01F,private,train,274;4698;9122,3
Ses01F_script02_1_F004,Ses01F,private,train,275;4699;9123,3
Ses01F_script02_1_F006,Ses01F,private,dev,29,1
Ses01F_script02_1_F007,Ses01F,private,train,276;4700;9124,3
Ses01F_script02_1_F008,Ses01F,private,train,277;4701;9125,3
Ses01F_script02_1_F009,Ses01F,private,train,278;4702;9126,3
Ses01F_script02_1_F010,Ses01F,private,train,279;4703;9127,3
Ses01F_script02_1_F015,Ses01F,private,train,280;4704;9128,3
Ses01F_script02_1_F024,Ses01F,private,train,281;4705;9129,3
Ses01F_script02_1_F025,Ses01F,private,train,282;4706;9130,3
Ses01F_script02_1_M002,Ses01M,private,test,34,1
Ses01F_script02_1_M007,Ses01M,private,dev,30,1
Ses01F_script02_1_M008,Ses01M,private,train,283;4707;9131,3
Ses01F_script02_1_M009,Ses01M,private,train,284;4708;9132,3
Ses01F_script02_1_M010,Ses01M,private,train,285;4709;9133,3
Ses01F_script02_1_M011,Ses01M,private,dev,31,1
Ses01F_script02_1_M013,Ses01M,private,train,286;4710;9134,3
Ses01F_script02_1_M014,Ses01M,private,train,287;4711;9135,3
Ses01F_script02_1_M015,Ses01M,private,train,288;4712;9136,3
Ses01F_script02_1_M016,Ses01M,private,train,289;4713;9137,3
Ses01F_script02_1_M020,Ses01M,private,train,290;4714;9138,3
Ses01F_script02_1_M021,Ses01M,private,train,291;4715;9139,3
Ses01F_script02_1_M023,Ses01M,private,train,292;4716;9140,3
Ses01F_script02_1_M024,Ses01M,private,train,293;4717;9141,3
Ses01F_script02_1_M025,Ses01M,private,train,294;4718;9142,3
Ses01F_script02_1_M026,Ses01M,private,train,295;4719;9143,3
Ses01F_script02_1_M029,Ses01M,private,train,296;4720;9144,3
Ses01F_script02_1_M031,Ses01M,private,test,35,1
Ses01F_script02_1_M032,Ses01M,private,train,297;4721;9145,3
Ses01F_script02_1_M033,Ses01M,private,test,36,1
Ses01F_script02_1_M034,Ses01M,private,dev,32,1
Ses01F_script02_1_M035,Ses01M,private,train,298;4722;9146,3
Ses01F_script02_1_M036,Ses01M,private,train,299;4723;9147,3
Ses01F_script02_1_M038,Ses01M,private,dev,33,1
Ses01F_script02_1_M040,Ses01M,private,train,300;4724;9148,3
Ses01F_script02_1_M043,Ses01M,private,dev,34,1
Ses01F_script02_1_M044,Ses01M,private,train,301;4725;9149,3
Ses01F_script02_2_F000,Ses01F,private,train,302;4726;9150,3
Ses01F_script02_2_F001,Ses01F,private,train,303;4727;9151,3
Ses01F_script02_2_F006,Ses01F,private,train,304;4728;9152,3
Ses01F_script02_2_F008,Ses01F,private,train,305;4729;9153,3
Ses01F_script02_2_F009,Ses01F,private,train,306;4730;9154,3
Ses01F_script02_2_F010,Ses01F,private,train,307;4731;9155,3
Ses01F_script02_2_F015,Ses01F,private,dev,35,1
Ses01F_script02_2_F016,Ses01F,private,train,308;4732;9156,3
Ses01F_script02_2_F017,Ses01F,private,train,309;4733;9157,3
Ses01F_script02_2_F019,Ses01F,private,train,310;4734;9158,3
Ses01F_script02_2_F022,Ses01F,private,train,311;4735;9159,3
Ses01F_script02_2_F023,Ses01F,private,train,312;4736;9160,3
Ses01F_script02_2_F026,Ses01F,private,dev,36,1
Ses01F_script02_2_F034,Ses01F,private,dev,37,1
Ses01F_script02_2_F035,Ses01F,private,dev,38,1
Ses01F_script02_2_F036,Ses01F,private,train,313;4737;9161,3
Ses01F_script02_2_F040,Ses01F,private,train,314;4738;9162,3
Ses01F_script02_2_F041,Ses01F,private,train,315;4739;9163,3
Ses01F_script02_2_F042,Ses01F,private,train,316;4740;9164,3
Ses01F_script02_2_F043,Ses01F,private,train,317;4741;9165,3
Ses01F_script02_2_F044,Ses01F,private,train,318;4742;9166,3
Ses01F_script02_2_F045,Ses01F,private,train,319;4743;9167,3
Ses01F_script02_2_F046,Ses01F,private,train,320;4744;9168,3
Ses01F_script02_2_F047,Ses01F,private,test,37,1
Ses01F_script02_2_M000,Ses01M,private,test,38,1
Ses01F_script02_2_M001,Ses01M,private,train,321;4745;9169,3
Ses01F_script02_2_M002,Ses01M,private,test,39,1
Ses01F_script02_2_M006,Ses01M,private,train,322;4746;9170,3
Ses01F_script02_2_M016,Ses01M,private,dev,39,1
Ses01F_script02_2_M017,Ses01M,private,train,323;4747;9171,3
Ses01F_script02_2_M019,Ses01M,private,train,324;4748;9172,3
Ses01F_script02_2_M021,Ses01M,private,train,325;4749;9173,3
Ses01F_script02_2_M022,Ses01M,private,test,40,1
Ses01F_script02_2_M023,Ses01M,private,train,326;4750;9174,3
Ses01F_script02_2_M024,Ses01M,private,train,327;4751;9175,3
Ses01F_script02_2_M026,Ses01M,private,train,328;4752;9176,3
Ses01F_script02_2_M033,Ses01M,private,train,329;4753;9177,3
Ses01F_script02_2_M037,Ses01M,private,train,330;4754;9178,3
Ses01F_script02_2_M038,Ses01M,private,train,331;4755;9179,3
Ses01F_script02_2_M040,Ses01M,private,train,332;4756;9180,3
Ses01F_script02_2_M042,Ses01M,private,train,333;4757;9181,3
Ses01F_script02_2_M043,Ses01M,private,test,41,1
Ses01F_script02_2_M044,Ses01M,private,train,334;4758;9182,3
Ses01F_script02_2_M046,Ses01M,private,test,42,1
Ses01F_script02_2_M047,Ses01M,private,test,43,1
Ses01F_script02_2_M048,Ses01M,private,train,335;4759;9183,3
Ses01F_script02_2_M049,Ses01M,private,train,336;4760;9184,3
Ses01F_script03_1_F005,Ses01F,private,train,337;4761;9185,3
Ses01F_script03_1_F006,Ses01F,private,train,338;4762;9186,3
Ses01F_script03_1_F007,Ses01F,private,train,339;4763;9187,3
Ses01F_script03_1_F010,Ses01F,private,train,340;4764;9188,3
Ses01F_script03_1_F011,Ses01F,private,train,341;4765;9189,3
Ses01F_script03_1_F012,Ses01F,private,train,342;4766;9190,3
Ses01F_script03_1_F020,Ses01F,private,train,343;4767;9191,3
Ses01F_script03_1_F021,Ses01F,private,test,44,1
Ses01F_script03_1_F022,Ses01F,private,train,344;4768;9192,3
